gene,chr,start,end,strand,length,control1,control2,control3,control4,control5,control6,exposed1,exposed2,exposed3,exposed4,exposed5,exposed6,control_mean,exposed_mean
Olfr921,9,"38,773,088","38,778,846",+,"4,012",358.51,457.85,363.95,457.38,485.84,602.17,443.32,502.26,433.26,555.39,511.71,543.38,454.28,498.22
Olfr360,2,"37,065,706","37,069,260",+,"1,503",542.10,451.88,468.67,394.81,422.21,441.85,413.64,343.38,417.74,393.11,499.87,528.87,453.59,432.77
Olfr187,16,"59,035,780","59,039,749",-,"1,087",426.92,480.02,531.34,401.07,443.92,418.39,446.47,481.76,469.71,396.26,465.27,396.83,450.28,442.72
Olfr1336,7,"6,456,031","6,466,817",+,"7,019",514.39,580.63,412.88,396.69,396.01,377.73,587.30,470.66,475.11,379.72,317.77,399.74,446.39,438.38
Olfr330,11,"58,527,186","58,534,834",-,"2,834",415.67,451.88,411.16,488.66,429.69,442.64,724.97,510.80,595.23,386.02,472.56,439.64,439.95,521.54
Olfr1297,2,"111,615,233","111,626,471",-,"6,972",450.31,457.85,497.00,369.16,418.46,436.38,647.92,446.74,441.36,344.26,403.36,316.31,438.19,433.33
Olfr130,17,"38,063,908","38,074,252",+,"6,359",429.52,423.75,490.99,407.95,442.42,429.34,342.91,395.49,442.71,419.89,452.53,459.95,437.33,418.91
Olfr180,16,"58,913,895","58,918,615",-,"2,815",472.82,345.31,520.18,455.50,374.30,426.21,407.95,332.28,348.91,430.92,529.01,393.21,432.39,407.05
Olfr342,2,"36,524,998","36,530,790",+,"3,829",386.22,379.41,402.58,455.50,413.97,501.29,448.37,384.38,447.44,428.56,454.35,411.34,423.16,429.07
Olfr235,19,"12,261,032","12,270,387",+,"3,578",523.05,395.61,528.76,389.18,315.16,376.94,318.91,322.88,333.38,386.81,367.85,279.31,421.45,334.86
Olfr1443,19,"12,678,112","12,683,843",+,"4,389",430.39,421.19,381.12,401.69,491.08,387.89,428.79,568.03,523.70,460.07,466.18,533.22,418.89,496.67
Olfr1369-ps1,13,"21,111,483","21,119,095",+,"4,002",457.23,441.65,357.94,354.77,445.41,452.80,380.17,518.49,516.27,363.96,356.92,377.25,418.30,418.84
Olfr835,9,"19,032,748","19,037,695",+,"2,702",498.80,419.48,323.61,394.18,434.18,426.21,262.71,348.51,307.06,365.54,403.36,368.54,416.08,342.62
Olfr365,2,"37,188,165","37,206,010",+,"5,839",410.47,445.06,398.29,409.20,390.77,424.65,325.22,313.49,356.33,412.80,460.72,453.42,413.07,387.00
Olfr263,13,"21,129,639","21,136,296",+,"4,022",455.50,418.63,351.08,357.27,460.39,429.34,414.27,478.34,503.45,445.89,401.54,409.89,412.03,442.23
Olfr794,10,"129,567,655","129,573,110",+,"3,044",479.75,334.22,439.49,418.59,396.75,397.28,389.01,354.49,388.05,332.45,319.59,400.46,411.01,364.01
Olfr131,17,"38,081,624","38,088,721",-,"1,840",459.83,426.31,456.66,386.68,369.81,344.10,309.44,403.18,342.16,487.64,484.39,494.05,407.23,420.14
Olfr1423,19,"12,031,787","12,041,317",-,"5,571",445.98,489.40,461.81,364.15,325.64,354.27,444.58,326.30,384.00,328.51,440.69,407.72,406.87,388.63
Olfr1290,2,"111,487,528","111,493,829",-,"2,729",365.44,318.88,384.55,464.26,335.37,526.31,260.18,280.17,349.58,324.57,389.70,279.31,399.14,313.92
Olfr1,11,"73,393,494","73,399,495",-,"2,862",530.84,370.89,499.58,364.15,342.86,283.88,371.96,450.16,334.06,436.44,482.57,422.22,398.70,416.23
Olfr665,7,"104,878,007","104,883,117",+,"3,603",498.80,427.16,406.87,432.35,299.44,303.43,199.56,350.22,315.84,430.13,492.59,543.38,394.68,388.62
Olfr1018,2,"85,818,486","85,824,221",+,"3,198",266.72,237.88,225.75,593.15,428.94,555.25,377.01,254.55,339.46,499.46,473.47,454.15,384.62,399.68
Olfr1271,2,"90,260,546","90,271,032",-,"6,613",504.86,310.35,338.20,411.08,362.32,346.44,275.97,333.99,299.64,269.42,270.42,308.33,378.88,292.96
Olfr1199,2,"88,754,195","88,760,469",-,"3,122",317.81,331.67,238.63,444.87,440.92,482.52,270.92,445.03,475.11,470.31,346.00,505.65,376.07,418.84
Olfr370,8,"83,535,780","83,544,105",+,"3,478",362.84,414.37,361.38,345.38,401.25,369.12,276.60,293.84,347.56,387.59,346.00,362.01,375.72,335.60
Olfr776,10,"129,259,116","129,264,298",+,"4,837",413.93,382.82,339.92,410.45,311.42,386.33,416.16,359.61,460.93,435.65,415.20,486.07,374.15,428.94
Olfr786,10,"129,427,306","129,439,080",+,"10,088",299.63,378.56,399.15,391.06,321.15,404.32,277.23,271.63,276.69,343.48,303.20,321.38,365.64,298.94
Olfr1254,2,"89,787,325","89,793,619",-,"2,650",383.63,400.73,351.93,297.83,327.88,421.52,438.90,334.84,392.10,369.47,388.79,408.44,363.92,388.76
Olfr214,6,"116,554,235","116,560,611",+,"2,807",381.89,390.50,448.93,308.47,320.40,328.46,375.11,355.34,390.75,339.54,295.01,330.82,363.11,347.76
Olfr297,7,"86,519,968","86,528,322",+,"1,753",358.51,329.11,321.03,392.31,355.58,413.70,308.81,267.36,230.13,304.88,365.12,301.07,361.71,296.23
Olfr1112,2,"87,187,849","87,192,855",+,"1,481",344.66,364.92,324.47,356.02,336.87,434.82,272.81,256.26,260.50,438.80,505.34,435.28,360.29,361.50
Olfr787,10,"129,461,862","129,467,485",+,"5,528",298.76,329.96,312.45,392.93,353.34,457.49,336.59,281.88,321.91,402.56,451.62,397.56,357.49,365.35
Olfr1437,19,"12,319,207","12,325,101",-,"3,908",447.71,542.26,636.92,158.30,167.69,183.78,325.22,296.40,311.11,147.32,207.60,175.56,356.11,243.87
Olfr1383,11,"49,519,747","49,526,636",+,"3,506",380.16,320.58,327.04,347.88,351.09,409.79,303.12,203.30,340.81,418.32,389.70,341.70,356.09,332.82
Olfr1253,2,"89,749,486","89,757,090",-,"6,565",382.76,354.69,398.29,352.26,285.21,348.79,360.59,312.63,384.00,200.10,200.31,232.15,353.67,281.63
Olfr145,9,"37,896,724","37,903,519",+,"6,760",368.90,341.04,346.78,419.84,361.57,277.62,150.93,216.96,168.04,230.82,290.45,261.90,352.63,219.85
Olfr1347,7,"6,487,913","6,499,650",-,"1,173",392.29,432.27,409.45,275.93,335.37,260.42,506.47,554.37,494.00,320.63,309.58,328.64,350.95,418.95
Olfr398,11,"73,979,967","73,990,407",-,"5,407",355.91,397.32,385.41,327.86,327.88,298.74,397.85,346.80,381.97,393.90,434.32,414.97,348.85,394.97
Olfr110,17,"37,492,468","37,500,164",+,"1,624",372.37,353.83,326.18,335.37,315.16,380.85,353.01,345.95,304.36,272.58,382.42,289.46,347.29,324.63
Olfr339,2,"36,418,964","36,426,221",+,"4,948",366.31,241.29,427.47,364.78,306.92,372.25,281.65,232.34,282.09,267.06,346.00,346.05,346.50,292.53
Olfr1238,2,"89,401,968","89,409,676",-,"5,784",305.69,349.57,408.59,320.35,355.58,337.84,416.16,275.90,345.53,399.41,447.06,356.21,346.27,373.38
Olfr777,10,"129,264,407","129,271,485",-,"5,407",353.32,376.85,367.39,311.59,291.95,366.78,340.38,249.42,313.14,313.54,296.83,314.13,344.65,304.57
Olfr1196,2,"88,697,303","88,704,470",-,"4,270",277.98,364.06,345.07,356.64,357.08,365.21,434.48,351.92,369.15,305.66,357.83,315.58,344.34,355.77
Olfr653,7,"104,577,314","104,584,117",+,"4,798",430.39,318.88,365.67,402.94,336.87,209.59,195.13,273.34,267.25,512.06,362.39,446.17,344.06,342.72
Olfr193,16,"59,107,706","59,112,007",-,"3,216",355.05,394.76,326.18,314.72,357.08,287.79,385.22,394.63,334.73,367.11,388.79,357.66,339.26,371.36
Olfr796,10,"129,605,492","129,612,184",-,"3,168",323.87,323.14,275.54,393.56,342.86,370.69,348.59,309.22,316.51,408.08,412.46,396.11,338.28,365.16
Olfr1246,2,"89,586,164","89,593,177",-,"5,439",382.76,289.89,319.32,329.74,345.10,358.18,323.96,357.90,285.47,341.90,341.44,368.54,337.50,336.54
Olfr718-ps1,5,"143,134,974","143,147,581",-,"4,030",361.98,358.95,377.69,316.60,333.87,269.80,238.08,266.51,307.06,299.36,310.49,298.89,336.48,286.73
Olfr1204,2,"88,849,302","88,858,010",+,"7,016",441.65,292.45,388.85,174.57,335.37,383.20,356.17,410.01,443.39,402.56,231.27,345.32,336.01,364.79
Olfr173,16,"58,795,207","58,800,268",-,"2,867",342.06,261.75,327.90,352.89,344.35,377.73,306.91,315.19,244.30,312.75,372.40,287.29,334.45,306.47
Olfr522,7,"140,159,999","140,164,764",-,"4,766",253.73,370.89,306.44,387.30,354.09,320.64,294.28,372.43,346.21,314.33,395.16,326.46,332.18,341.48
Olfr129,17,"38,050,845","38,059,983",-,"5,369",327.34,332.52,347.64,390.43,276.23,316.73,352.38,380.11,347.56,280.45,312.31,244.48,331.81,319.55
Olfr186,16,"59,025,797","59,030,274",-,"2,320",293.56,248.96,212.02,439.23,390.02,402.75,323.96,338.26,317.19,464.80,492.59,404.81,331.09,390.27
Olfr1325,X,"74,592,699","74,597,578",+,"4,398",313.48,283.07,403.44,320.98,316.66,301.09,325.86,349.36,392.77,303.30,307.75,261.90,323.12,323.49
Olfr109,17,"37,458,973","37,471,590",+,"5,998",310.88,306.09,271.25,364.78,349.59,330.80,265.86,282.74,242.95,367.11,396.99,404.81,322.23,326.74
Olfr1386,11,"49,464,986","49,471,715",+,"2,746",355.05,240.44,260.09,376.67,319.65,371.47,446.47,363.03,443.39,396.26,419.75,395.38,320.56,410.71
Olfr801,10,"129,666,989","129,673,804",-,"4,059",320.41,359.80,406.87,248.40,275.48,281.54,248.18,240.88,264.55,250.52,231.27,325.01,315.42,260.07
Olfr59,11,"74,283,736","74,291,608",+,"3,364",284.90,273.69,241.20,349.13,339.11,403.53,258.92,234.05,270.62,330.87,405.18,338.80,315.26,306.41
Olfr1280,2,"111,315,438","111,316,440",+,"1,003",375.83,403.28,256.65,202.72,265.00,373.82,443.95,431.36,405.59,392.32,248.57,307.60,312.89,371.57
Olfr1354,10,"78,913,306","78,920,399",+,"3,779",421.73,293.30,297.86,325.98,247.78,277.62,215.34,294.69,253.75,301.72,313.22,166.86,310.71,257.60
Olfr810,10,"129,787,289","129,794,917",-,"4,935",374.97,279.66,296.14,347.88,315.91,226.01,142.72,210.13,225.41,392.32,265.87,465.03,306.76,283.58
Olfr1178,2,"88,387,062","88,394,010",+,"3,000",314.35,318.88,254.94,317.85,323.39,301.87,582.25,338.26,410.32,437.22,429.76,467.93,305.21,444.29
Olfr273,4,"52,852,154","52,859,194",-,"4,518",270.18,281.36,339.06,351.64,279.97,306.56,271.55,220.38,223.38,187.49,312.31,321.38,304.80,256.08
Olfr1093,2,"86,782,543","86,787,582",+,"2,218",312.62,269.42,287.56,292.20,262.76,389.46,361.85,345.95,305.71,296.21,363.30,359.11,302.33,338.69
Olfr136,17,"38,329,733","38,336,643",+,"2,773",288.37,225.94,237.77,367.91,320.40,371.47,271.55,273.34,228.10,288.33,296.83,277.86,301.98,272.67
Olfr984,9,"40,096,583","40,114,168",-,"5,169",348.99,271.13,368.24,250.28,267.25,292.48,372.59,343.38,339.46,281.24,308.66,301.07,299.73,324.40
Olfr695,7,"106,711,707","106,716,396",-,"3,277",346.39,247.26,372.54,330.36,197.63,299.52,334.70,362.18,275.35,257.61,396.99,409.17,298.95,339.33
Olfr1299,2,"111,661,419","111,665,814",+,"1,783",266.72,291.59,304.72,324.11,306.92,297.18,360.59,351.92,353.63,276.51,288.63,338.80,298.54,328.35
Olfr1416,1,"92,475,997","92,485,103",-,"4,757",342.92,358.95,327.04,210.86,278.48,238.52,422.48,432.22,452.16,308.81,236.73,293.09,292.80,357.58
Olfr1276,2,"111,254,516","111,261,028",+,"4,054",310.02,331.67,264.38,247.15,265.75,335.50,211.55,301.53,284.12,313.54,257.68,221.27,292.41,264.95
Olfr1295,2,"111,563,785","111,569,659",-,"1,841",122.97,156.88,135.62,486.79,410.98,439.51,182.50,164.00,175.47,366.32,468.92,489.69,292.12,307.82
Olfr849,9,"19,440,266","19,446,923",+,"6,140",321.28,328.26,290.13,307.84,231.32,273.71,221.66,205.00,259.82,237.91,207.60,230.70,292.09,227.12
Olfr45,7,"140,681,952","140,693,119",+,"2,430",282.31,312.06,282.41,292.82,288.96,276.06,282.28,283.59,268.60,300.94,291.37,306.87,289.10,288.94
Olfr1321,X,"49,726,018","49,735,059",-,"2,105",363.71,240.44,172.53,290.95,351.09,310.47,230.50,351.92,276.69,317.48,250.39,301.07,288.20,288.01
Olfr1242,2,"89,492,380","89,498,335",-,"2,691",274.51,288.18,291.85,304.09,241.80,322.98,397.85,309.22,315.16,340.33,306.84,314.13,287.23,330.59
Olfr1391,11,"49,322,742","49,329,810",+,"3,248",190.51,278.80,202.58,363.53,306.92,375.38,250.08,204.15,234.85,351.35,366.03,387.40,286.29,298.98
Olfr279,15,"98,492,315","98,502,637",+,"5,692",331.67,335.08,305.58,217.11,262.76,264.33,286.70,269.92,302.34,306.45,264.96,338.07,286.09,294.74
Olfr1209,2,"88,904,942","88,915,157",-,"5,611",266.72,259.19,255.80,318.48,300.93,298.74,347.33,333.99,325.29,249.73,336.89,245.21,283.31,306.41
Olfr827,10,"130,203,049","130,214,403",-,"8,466",290.10,227.65,358.80,289.07,244.79,284.66,391.53,221.23,276.69,267.85,373.31,440.36,282.51,328.50
Olfr525,7,"140,320,858","140,327,283",+,"4,795",284.04,284.77,268.67,283.44,272.49,298.74,340.38,256.26,261.17,263.91,294.10,261.90,282.02,279.62
Olfr1448,19,"12,916,798","12,924,419",-,"4,199",252.86,275.39,279.83,357.89,258.27,251.04,176.19,248.57,262.52,309.60,308.66,334.44,279.21,273.33
Olfr65,7,"103,903,467","103,908,645",+,"3,177",352.45,252.37,301.29,314.72,272.49,179.09,155.98,234.05,196.39,361.60,287.72,303.25,278.74,256.50
Olfr720,14,"14,171,738","14,186,838",-,"4,874",403.54,300.97,250.65,198.34,256.77,247.13,250.08,307.51,302.34,252.88,203.96,233.60,276.23,258.39
Olfr1341,4,"118,703,428","118,712,781",+,"4,712",258.93,250.67,262.66,324.11,271.74,287.01,227.34,215.26,226.08,244.22,291.37,239.41,275.85,240.61
Olfr116,17,"37,620,577","37,627,109",-,"4,413",397.48,162.85,336.48,290.95,182.66,277.62,200.19,240.03,183.56,362.38,295.92,200.96,274.67,247.17
Olfr477,7,"107,986,684","107,992,658",+,"2,874",319.54,271.13,327.90,243.39,223.83,250.25,253.23,244.30,234.85,242.64,288.63,253.19,272.68,252.81
Olfr49,14,"54,278,118","54,284,939",-,"5,852",315.21,322.29,333.05,254.66,184.90,223.66,350.49,215.26,259.82,163.07,276.80,256.09,272.30,253.59
Olfr1012,2,"85,757,353","85,762,747",-,"3,164",235.54,198.66,234.34,320.35,300.93,342.53,206.50,222.09,211.23,233.19,330.52,300.35,272.06,250.65
Olfr121,17,"37,748,866","37,753,009",+,"1,242",303.96,290.74,287.56,265.29,243.29,229.92,231.13,217.82,225.41,268.64,346.91,281.48,270.13,261.90
Olfr93,17,"37,149,706","37,161,715",-,"3,210",277.11,310.35,297.00,259.66,219.34,249.47,290.49,263.09,269.95,267.85,307.75,237.23,268.82,272.73
Olfr1414,1,"92,506,366","92,518,661",-,"6,083",272.78,296.71,264.38,249.65,249.28,269.02,358.69,419.41,425.84,233.19,215.79,278.58,266.97,321.92
Olfr95,17,"37,207,950","37,213,085",-,"5,136",252.00,283.07,278.97,300.33,232.06,253.38,272.81,256.26,284.12,237.13,230.36,255.37,266.64,256.01
Olfr1270,2,"90,145,255","90,153,078",-,"5,179",180.99,214.86,291.85,351.01,294.95,259.64,278.49,295.55,237.55,214.28,254.03,240.86,265.55,253.46
Olfr1016,2,"85,797,618","85,802,533",-,"2,994",227.75,192.69,232.62,379.17,276.98,280.75,188.82,252.84,189.64,255.24,304.11,301.07,264.99,248.62
Olfr1104,2,"87,020,745","87,027,078",-,"3,090",255.46,272.84,275.54,286.57,273.99,208.81,171.14,237.46,203.13,222.94,219.43,221.27,262.20,212.56
Olfr1256,2,"89,825,311","89,841,507",-,"5,329",244.20,260.05,224.89,263.42,279.23,297.96,299.96,223.80,288.17,263.12,264.05,255.37,261.62,265.74
Olfr491,7,"108,313,451","108,318,827",+,"2,267",319.54,339.34,334.77,176.44,196.88,197.86,259.55,225.51,217.31,138.65,162.07,120.43,260.81,187.25
Olfr1275,2,"111,230,388","111,235,286",-,"2,402",326.47,270.28,182.83,202.10,303.18,263.55,183.14,251.99,271.30,248.15,231.27,232.88,258.07,236.45
Olfr1243,2,"89,525,998","89,531,483",-,"3,035",265.85,294.15,223.18,232.13,238.80,287.79,361.85,333.99,293.57,268.64,282.26,222.72,256.98,293.84
Olfr1318,2,"112,154,198","112,159,157",+,"3,940",270.18,283.07,265.24,251.53,196.88,273.71,268.39,232.34,249.70,266.27,225.81,237.95,256.77,246.74
Olfr11,13,"21,636,623","21,642,582",-,"3,330",270.18,200.36,242.92,270.30,276.23,275.28,337.22,294.69,263.87,258.40,291.37,269.88,255.88,285.90
Olfr672,7,"104,995,760","105,002,211",-,"1,680",368.04,217.42,251.50,320.35,221.58,154.84,128.20,228.92,194.36,356.87,341.44,273.50,255.62,253.88
Olfr357,2,"36,993,805","37,001,689",+,"5,316",254.60,305.23,274.68,232.13,221.58,244.78,245.66,268.21,239.58,319.06,353.28,346.78,255.50,295.43
Olfr1162,2,"88,045,968","88,051,096",-,"4,719",297.03,211.45,295.28,299.08,222.33,206.46,134.51,211.84,175.47,319.84,375.13,343.87,255.27,260.11
Olfr175-ps1,16,"58,823,662","58,826,774",-,"1,201",236.41,185.02,241.20,360.40,268.75,221.32,447.11,289.57,457.56,255.24,409.73,438.91,252.18,383.02
Olfr472,7,"107,897,902","107,907,762",+,"5,417",265.85,221.68,248.07,275.93,239.55,258.86,192.61,146.07,165.34,163.07,203.05,153.07,251.66,170.53
Olfr1477,19,"13,500,546","13,506,192",+,"4,040",264.12,221.68,269.53,224.00,261.26,268.24,239.34,278.46,245.65,215.07,215.79,177.74,251.47,228.68
Olfr1250,2,"89,656,079","89,663,062",-,"2,298",278.84,300.12,286.70,250.90,164.69,227.57,210.92,289.57,255.10,208.76,303.20,229.97,251.47,249.59
Olfr464,11,"87,913,268","87,920,967",-,"2,320",292.70,262.60,270.39,222.12,214.85,240.09,198.92,162.30,224.73,218.22,280.44,251.74,250.46,222.72
Olfr466,13,"65,150,240","65,156,152",+,"4,457",183.59,242.14,193.99,299.08,264.25,315.16,178.72,210.13,207.18,321.42,373.31,294.54,249.70,264.22
Olfr417,1,"174,365,140","174,374,472",+,"6,062",273.65,284.77,272.96,247.77,164.69,252.60,320.80,183.65,244.98,159.13,227.63,178.47,249.41,219.11
Olfr592,7,"103,184,803","103,192,967",+,"6,058",211.30,190.98,195.71,359.15,290.45,229.14,161.03,232.34,201.78,285.18,369.67,280.76,246.12,255.13
Olfr912,9,"38,580,190","38,584,767",+,"3,605",174.93,153.47,172.53,362.90,289.71,320.64,200.82,134.96,159.94,317.48,384.24,325.74,245.70,253.86
Olfr598,7,"103,323,281","103,329,888",+,"2,313",284.04,184.16,250.65,319.10,248.53,174.40,128.20,193.90,190.99,381.29,381.51,359.11,243.48,272.50
Olfr287,15,"98,206,971","98,221,056",-,"2,457",343.79,273.69,227.47,159.55,208.86,222.10,191.35,310.07,201.78,189.86,154.79,182.82,239.24,205.11
Olfr132,17,"38,129,866","38,134,526",-,"1,910",218.22,224.24,239.49,253.40,241.05,250.25,222.92,189.63,226.75,231.61,295.92,280.76,237.78,241.27
Olfr8,10,"78,950,627","78,958,378",+,"3,451",277.11,239.58,207.73,277.81,172.18,248.69,250.71,245.15,224.06,247.37,271.33,278.58,237.18,252.87
Olfr303,7,"86,391,810","86,397,789",-,"4,513",253.73,202.07,231.76,250.90,226.82,230.70,193.87,203.30,190.99,204.83,213.06,183.54,232.66,198.26
Olfr1442,19,"12,670,439","12,676,931",+,"3,283",226.88,230.20,173.39,236.51,261.26,262.77,421.85,343.38,290.87,280.45,264.05,346.78,231.84,324.56
Olfr1415,1,"92,489,101","92,496,125",-,"3,220",244.20,279.66,267.81,182.08,218.59,196.29,311.33,278.46,263.20,256.03,243.11,272.05,231.44,270.70
Olfr170,16,"19,605,696","19,611,882",-,"1,437",287.50,279.66,242.92,162.68,171.43,244.00,284.81,205.00,246.33,289.91,267.69,187.90,231.36,246.94
Olfr391-ps,11,"73,797,861","73,803,044",-,"2,072",257.19,152.62,187.98,208.98,359.33,221.32,128.20,146.92,198.41,193.80,197.58,149.45,231.24,169.06
Olfr30,11,"58,454,105","58,462,270",-,"2,481",248.53,225.94,274.68,220.24,212.60,203.33,178.72,224.65,212.58,208.76,248.57,256.09,230.89,221.56
Olfr325,11,"58,577,730","58,582,365",+,"1,651",211.30,260.05,182.83,245.90,271.74,200.98,275.97,256.26,209.21,241.85,261.32,224.90,228.80,244.92
Olfr806,10,"129,735,943","129,741,937",-,"3,368",232.08,220.83,204.29,232.76,250.78,231.48,234.29,204.15,230.80,236.34,252.21,245.94,228.70,233.95
Olfr1342,4,"118,687,486","118,692,756",-,"3,269",229.48,260.05,203.44,227.13,226.82,222.10,221.03,188.78,217.31,230.82,335.07,247.39,228.17,240.06
Olfr1216,2,"89,011,571","89,018,306",-,"4,298",148.08,159.44,149.36,327.86,280.72,294.83,209.03,198.17,203.81,277.30,302.29,256.82,226.72,241.24
Olfr1219,2,"89,072,241","89,083,632",-,"6,006",219.96,259.19,202.58,247.15,231.32,194.73,245.02,172.55,209.88,211.13,228.54,243.03,225.82,218.36
Olfr784,10,"129,384,077","129,390,829",+,"3,808",240.74,169.67,252.36,230.88,217.09,239.30,179.98,188.78,200.44,212.70,234.00,202.41,225.01,203.05
Olfr1484,19,"13,583,511","13,589,028",+,"4,038",240.74,165.41,230.90,247.15,181.16,283.88,182.50,178.53,153.87,183.56,258.59,198.78,224.87,192.64
Olfr884,9,"38,046,559","38,050,178",+,"3,222",271.92,187.57,250.65,275.30,196.13,167.36,119.35,216.96,128.90,271.79,247.66,231.43,224.82,202.68
Olfr267,4,"58,782,704","58,787,716",-,"4,050",173.19,173.93,173.39,298.45,248.53,272.93,243.13,154.61,150.50,164.65,291.37,274.23,223.41,213.08
Olfr1418,19,"11,852,587","11,861,066",-,"4,046",294.43,292.45,285.84,127.02,129.51,211.15,202.71,246.01,238.90,282.82,273.15,266.97,223.40,251.76
Olfr1380,11,"49,556,740","49,565,859",+,"2,655",232.08,263.46,301.29,180.20,139.99,215.84,173.66,125.57,159.94,95.32,128.38,143.64,222.14,137.75
Olfr1274-ps,2,"90,398,646","90,403,898",+,"3,435",212.16,201.22,236.91,220.87,227.57,232.27,392.80,373.28,378.60,179.62,193.03,165.41,221.83,280.45
Olfr1046,2,"86,215,191","86,219,308",-,"2,561",219.96,163.70,222.32,262.16,235.81,211.15,126.93,194.75,188.29,219.01,241.29,203.13,219.18,195.57
Olfr1330,4,"118,888,597","118,898,115",+,"4,674",220.82,227.65,225.75,236.51,212.60,188.47,192.61,215.26,217.31,235.55,243.11,261.17,218.63,227.50
Olfr1494,19,"13,739,728","13,750,475",+,"2,181",210.43,195.25,214.59,255.28,190.14,240.87,230.50,230.63,179.51,209.55,221.26,193.70,217.76,210.86
Olfr164,16,"19,284,033","19,314,064",-,"3,019",218.22,206.33,224.89,225.87,217.09,204.11,249.44,247.71,207.18,121.32,178.46,150.17,216.09,192.38
Olfr1425,19,"12,073,226","12,077,767",-,"2,222",190.51,230.20,203.44,226.50,175.92,269.80,210.29,192.19,197.74,200.10,262.23,228.52,216.06,215.18
Olfr1126,2,"87,453,936","87,458,911",+,"1,854",203.50,193.54,244.64,226.50,178.91,248.69,292.39,319.47,274.67,214.28,249.48,215.47,215.96,260.96
Olfr791,10,"129,521,820","129,528,161",+,"2,289",261.52,176.49,266.10,251.53,163.94,174.40,134.51,175.11,185.59,335.60,251.30,256.82,215.66,223.15
Olfr288,15,"98,186,013","98,195,542",-,"2,569",246.80,271.13,235.20,126.39,223.08,188.47,210.92,247.71,201.11,183.56,181.19,240.13,215.18,210.77
Olfr571,7,"102,905,223","102,917,518",-,"5,007",185.32,214.01,192.28,237.14,214.10,240.09,227.34,155.46,188.29,226.88,269.51,274.95,213.82,223.74
Olfr1044,2,"86,168,599","86,177,820",-,"3,256",271.92,170.52,218.03,269.67,183.41,168.92,109.25,175.11,148.47,210.34,226.72,198.05,213.74,177.99
Olfr1234,2,"89,360,013","89,364,865",-,"3,860",196.58,206.33,265.24,211.48,181.91,219.75,243.13,240.03,197.74,189.07,305.93,204.58,213.55,230.08
Olfr324,11,"58,595,099","58,600,778",+,"3,802",265.85,225.09,249.79,180.82,172.18,183.78,239.97,155.46,151.17,154.41,238.56,206.03,212.92,190.93
Olfr1025-ps1,2,"85,916,029","85,922,406",+,"4,622",251.13,162.85,210.30,259.66,215.60,170.49,126.30,174.25,144.42,281.24,281.35,198.78,211.67,201.06
Olfr446,6,"42,921,377","42,931,141",+,"4,399",250.27,144.09,192.28,298.45,227.57,155.63,121.25,166.57,161.97,308.81,304.11,205.31,211.38,211.34
Olfr731,14,"50,233,347","50,241,866",-,"8,192",201.77,268.57,197.43,179.57,209.61,207.24,252.60,191.34,221.36,192.22,185.75,224.90,210.70,211.36
Olfr1231,2,"89,299,267","89,307,114",-,"4,520",209.57,202.92,180.26,232.13,217.09,207.24,275.34,205.00,227.43,152.83,204.87,166.86,208.20,205.39
Olfr1410,1,"92,605,823","92,612,778",+,"5,858",232.08,271.98,280.69,175.19,148.97,139.99,199.56,141.80,197.06,74.05,92.87,133.49,208.15,139.80
Olfr171,16,"19,624,150","19,629,941",-,"1,211",217.36,277.10,198.29,155.17,233.56,165.01,181.24,228.92,259.82,211.92,158.43,159.60,207.75,199.99
Olfr775,10,"129,248,412","129,253,924",+,"5,513",218.22,200.36,216.31,170.81,208.86,224.45,276.60,152.90,207.18,222.16,235.82,269.88,206.50,227.42
Olfr821,10,"130,030,348","130,035,071",+,"1,994",218.22,247.26,218.03,181.45,170.68,202.55,169.87,146.92,134.97,152.04,193.03,174.84,206.36,161.95
Olfr1277,2,"111,264,946","111,274,064",-,"5,753",187.05,206.33,146.78,160.80,235.06,292.48,168.61,171.69,178.84,201.67,161.16,237.95,204.75,186.66
Olfr1368,13,"21,141,882","21,145,863",-,"1,629",266.72,225.09,216.31,183.33,169.93,166.57,207.13,210.98,178.16,190.65,284.99,231.43,204.66,217.22
Olfr419,1,"174,248,514","174,252,061",-,"2,685",234.68,195.25,212.88,220.24,211.85,152.50,134.51,199.03,190.99,217.43,235.82,210.39,204.57,198.03
Olfr315,11,"58,773,188","58,780,251",+,"2,504",174.93,179.05,158.80,212.11,269.49,223.66,265.86,366.45,316.51,213.49,202.13,227.07,203.01,265.25
Olfr1501,19,"13,835,033","13,850,790",-,"4,624",238.14,231.91,202.58,215.86,160.95,168.14,213.45,207.57,191.66,158.35,178.46,188.62,202.93,189.68
Olfr1006,2,"85,673,695","85,678,757",-,"1,527",166.27,157.73,151.93,272.80,238.05,230.70,192.61,189.63,143.75,231.61,293.19,311.23,202.91,227.00
Olfr694,7,"106,686,180","106,691,781",-,"3,802",135.09,201.22,143.35,262.16,241.80,233.83,197.66,220.38,238.23,225.31,251.30,205.31,202.91,223.03
Olfr1311,2,"112,019,610","112,024,412",-,"3,883",219.09,214.86,184.55,198.34,218.59,177.52,170.51,161.44,207.86,229.25,182.10,185.00,202.16,189.36
Olfr394,11,"73,883,337","73,890,773",-,"5,631",202.64,151.76,244.64,254.66,170.68,188.47,174.93,193.90,158.59,218.22,222.17,213.29,202.14,196.85
